image_id,edit_type,overall_better,identity_preservation,edit_strength,realism,notes
ffhq_sample_0000,glasses,tie,naive,best,tie,
ffhq_sample_0000,facial_hair,best,best,naive,best,
ffhq_sample_0003,glasses,best,tie,best,tie,
ffhq_sample_0003,facial_hair,naive,naive,tie,tie,fail
ffhq_sample_0004,glasses,tie,tie,best,naive,
ffhq_sample_0004,facial_hair,best,naive,naive,best,
ffhq_sample_0005,glasses,naive,naive,best,naive,
ffhq_sample_0005,facial_hair,tie,naive,naive,tie,fail
ffhq_sample_0006,glasses,naive,naive,best,naive,
ffhq_sample_0006,facial_hair,best,naive,naive,best,semi-fail
ffhq_sample_0007,glasses,naive,tie,best,naive,
ffhq_sample_0007,facial_hair,best,best,naive,best,
ffhq_sample_0009,glasses,naive,tie,naive,naive,semi-fail
ffhq_sample_0009,facial_hair,best,best,naive,best,
ffhq_sample_0010,glasses,naive,tie,best,naive,
ffhq_sample_0010,facial_hair,best,tie,naive,best,
ffhq_sample_0011,glasses,naive,tie,best,naive,
ffhq_sample_0011,facial_hair,tie,tie,tie,tie,fail
ffhq_sample_0013,glasses,tie,tie,naive,tie,fail
ffhq_sample_0013,facial_hair,naive,tie,naive,naive,
ffhq_sample_0015,glasses,naive,tie,best,naive,
ffhq_sample_0015,facial_hair,tie,tie,naive,tie,fail
ffhq_sample_0016,glasses,naive,tie,best,naive,
ffhq_sample_0016,facial_hair,naive,naive,best,naive,
ffhq_sample_0018,glasses,naive,tie,best,naive,
ffhq_sample_0018,facial_hair,tie,naive,best,naive,fail
ffhq_sample_0019,glasses,best,tie,best,best,
ffhq_sample_0019,facial_hair,tie,best,naive,tie,
ffhq_sample_0021,glasses,naive,tie,best,naive,
ffhq_sample_0021,facial_hair,tie,tie,naive,tie,fail
ffhq_sample_0022,glasses,tie,tie,naive,tie,
ffhq_sample_0022,facial_hair,best,best,naive,best,
ffhq_sample_0024,glasses,best,tie,best,best,
ffhq_sample_0024,facial_hair,best,best,naive,best,
ffhq_sample_0027,glasses,tie,tie,best,naive,semi-fail
ffhq_sample_0027,facial_hair,best,best,naive,best,semi-fail
ffhq_sample_0031,glasses,naive,tie,best,naive,
ffhq_sample_0031,facial_hair,best,best,naive,best,
ffhq_sample_0032,glasses,naive,tie,naive,naive,semi-fail
ffhq_sample_0032,facial_hair,best,best,naive,best,
ffhq_sample_0033,glasses,best,tie,tie,best,
ffhq_sample_0033,facial_hair,best,best,naive,best,fail
ffhq_sample_0034,glasses,naive,best,best,tie,
ffhq_sample_0034,facial_hair,best,best,naive,naive,
ffhq_sample_0035,glasses,naive,naive,best,naive,
ffhq_sample_0035,facial_hair,naive,best,naive,naive,
ffhq_sample_0038,glasses,naive,naive,tie,naive,
ffhq_sample_0038,facial_hair,tie,best,naive,best,semi-fail
ffhq_sample_0040,glasses,naive,tie,best,naive,
ffhq_sample_0040,facial_hair,tie,best,naive,tie,fail
ffhq_sample_0043,glasses,naive,naive,best,naive,
ffhq_sample_0043,facial_hair,tie,tie,naive,best,
ffhq_sample_0044,glasses,naive,naive,naive,naive,
ffhq_sample_0044,facial_hair,naive,naive,best,naive,semi-fail
ffhq_sample_0047,glasses,naive,naive,best,naive,
ffhq_sample_0047,facial_hair,best,best,tie,best,
ffhq_sample_0048,glasses,naive,naive,best,naive,
ffhq_sample_0048,facial_hair,best,best,naive,best,
ffhq_sample_0050,glasses,naive,naive,naive,naive,
ffhq_sample_0050,facial_hair,tie,naive,best,tie,fail
ffhq_sample_0051,glasses,naive,naive,best,naive,
ffhq_sample_0051,facial_hair,tie,naive,best,tie,fail
ffhq_sample_0053,glasses,naive,naive,tie,naive,
ffhq_sample_0053,facial_hair,best,naive,naive,best,
ffhq_sample_0054,glasses,naive,naive,best,naive,
ffhq_sample_0054,facial_hair,naive,naive,best,naive,
ffhq_sample_0055,glasses,naive,naive,best,naive,
ffhq_sample_0055,facial_hair,best,best,naive,best,
ffhq_sample_0056,glasses,naive,naive,naive,naive,
ffhq_sample_0056,facial_hair,best,best,naive,best,
ffhq_sample_0057,glasses,naive,naive,best,naive,
ffhq_sample_0057,facial_hair,tie,naive,best,naive,fail
ffhq_sample_0058,glasses,naive,naive,best,naive,
ffhq_sample_0058,facial_hair,best,tie,naive,best,
ffhq_sample_0059,glasses,naive,naive,best,naive,
ffhq_sample_0059,facial_hair,best,best,naive,best,
ffhq_sample_0060,glasses,naive,naive,best,naive,
ffhq_sample_0060,facial_hair,best,best,naive,best,
ffhq_sample_0061,glasses,naive,naive,best,naive,
ffhq_sample_0061,facial_hair,naive,naive,best,naive,
ffhq_sample_0062,glasses,naive,naive,naive,best,
ffhq_sample_0062,facial_hair,best,best,naive,best,
ffhq_sample_0064,glasses,naive,naive,best,naive,
ffhq_sample_0064,facial_hair,best,best,naive,best,
ffhq_sample_0067,glasses,naive,naive,best,naive,
ffhq_sample_0067,facial_hair,naive,naive,best,naive,
ffhq_sample_0071,glasses,naive,naive,best,naive,
ffhq_sample_0071,facial_hair,naive,naive,best,naive,fail
ffhq_sample_0073,glasses,naive,naive,best,naive,
ffhq_sample_0073,facial_hair,tie,tie,tie,tie,fail
ffhq_sample_0075,glasses,tie,tie,tie,tie,fail
ffhq_sample_0075,facial_hair,tie,tie,tie,tie,fail
ffhq_sample_0076,glasses,naive,naive,best,naive,
ffhq_sample_0076,facial_hair,best,tie,naive,best,
ffhq_sample_0079,glasses,naive,tie,naive,naive,
ffhq_sample_0079,facial_hair,naive,naive,best,naive,
ffhq_sample_0082,glasses,naive,naive,best,naive,
ffhq_sample_0082,facial_hair,best,best,naive,best,fail
ffhq_sample_0086,glasses,naive,tie,best,naive,
ffhq_sample_0086,facial_hair,best,best,naive,best,
